Reference, Value, Footprint,Type, Tolerance, Part Number
C13,1uF,Capacitors_SMD:C_0603,Ceramic,,Suggest
R8,560R,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R9,68K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R10,150K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
C5,1uF,Capacitors_SMD:C_0603,Thin Film,1.00%,Suggest
R19,1K,Resistors_SMD:R_0603,Thin Film,5%,Suggest
R18,1K,Resistors_SMD:R_0603,Thin Film,5%,Suggest
C8,1uF,Capacitors_SMD:C_0603,Ceramic,,Suggest
U1,LM324A,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,,,LM324A
R12,5.6K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
C6,1uF,Capacitors_SMD:C_0603,Thin Film,1.00%,Suggest
R17,5.6K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R13,10K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R16,10K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R15,100K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R5,100K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R6,100K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R4,100K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R3,100K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
U2,MPU9150,Housings_DFN_QFN:QFN-24_4x4mm_Pitch0.5mm,,,MPU-9150
C3,10nF,Capacitors_SMD:C_1206,Ceramic,,Suggest
C1,2.2nF,Capacitors_SMD:C_0603,Ceramic,,Suggest
C4,0.1uF,Capacitors_SMD:C_0402_NoSilk,Ceramic,,Suggest
U3,MCP4725,TO_SOT_Packages_SMD:SOT-23-6,,,MCP4725A0T-E/CH
C2,10nF,Capacitors_SMD:C_1206,Ceramic,,Suggest
JP1,Jumper_NO_Small,Buttons_Switches_SMD:SW_DIP_x1_W5.08mm_Slide_Copal_CHS-A,,,CHS-01TA
JP2,Jumper_NO_Small,Buttons_Switches_SMD:SW_DIP_x1_W5.08mm_Slide_Copal_CHS-A,,,CHS-01TA
U5,nrf52832-qfax,Housings_DFN_QFN:UQFN-48-1EP_6x6mm_Pitch0.4mm,,,nRF52832-QFAA-R7
R20,6.8k,Resistors_SMD:R_0603,Thin Film,5%,Suggest
Y1,32.768KHz,Capacitors_SMD:C_0805,Ceramic,,ABS06W-32.768kHz-J-2-T
C12,12pF,Capacitors_SMD:C_0603,Ceramic,,02013A120GAT2A
C9,12pF,Capacitors_SMD:C_0603,Ceramic,,02013A120GAT2A
C14,100nF,Capacitors_SMD:C_0603,Ceramic,,Suggest
J5,Conn_Coaxial,Connectors_Molex:Molex_Microcoaxial_RF,,,734120110
Y2,32MHz,Capacitors_SMD:C_0805,Ceramic,,ABS06W-32.768kHz-D-2-T
C10,12pF,Capacitors_SMD:C_0603,Ceramic,,02013A120GAT2A
C11,12pF,Capacitors_SMD:C_0603,Ceramic,,02013A120GAT2A
L1,3.9nH,Resistors_SMD:R_0402,Thin Film,1.00%,L04023R9BHNTR
C17,0.8pF,Capacitors_SMD:C_0201,Ceramic,,GJM0335C1ER80BB01D
C15,100pF,Capacitors_SMD:C_0603,Ceramic,,Suggest
D1,LED_RED,LEDs:LED_0805,,,Suggest
R23,10K,Resistors_SMD:R_0603,Thin Film,5%,Suggest
R14,100K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
U4,TLV70032_SOT23-5,TO_SOT_Packages_SMD:SOT-23-5,,,TLV70025QDDCRQ1
C18,1uF,Capacitors_SMD:C_0603,Ceramic,,Suggest
C7,10uF,Capacitors_SMD:C_1206,Ceramic,,Suggest
R11,300K,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
JP3,JPC,Buttons_Switches_SMD:SW_DIP_x1_W5.08mm_Slide_Copal_CHS-A,,,CHS-01TA
JP4,JPC,Buttons_Switches_SMD:SW_DIP_x1_W5.08mm_Slide_Copal_CHS-A,,,CHS-01TA
L3,10uH,Resistors_SMD:R_0805,Thin Film,1.00%,Suggest
L2,13nH,Resistors_SMD:R_0603,Thin Film,1.00%,Suggest
R24,10M,Resistors_SMD:R_0603,Thin Film,5%,Suggest
R25,10M,Resistors_SMD:R_0603,Thin Film,5%,Suggest
C16,1uf,Capacitors_SMD:C_0603,Ceramic,,Suggest
C19,1uF,Capacitors_SMD:C_0603,Ceramic,,Suggest
Q1,Q_NMOS_GSD,TO_SOT_Packages_SMD:SOT-23,,,NTR3A052PZT1G
Q2,Q_PMOS_GSD,TO_SOT_Packages_SMD:SOT-23,,,STR2P3LLH6
